id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
1,Cloud Architect,Healthcare,Lead,10,Master,"Experienced Cloud Architect with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",5,2,14,44229,Remote,False,0.9666890261580734,76,0.4247070572565687
2,Frontend Developer,Finance,Mid,8,PhD,"Experienced Frontend Developer with 3 years in software development. Proficient in React, TypeScript, JavaScript, HTML. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",5,0,8,64143,Remote,False,0.539438136587672,53,0.8700880694508781
3,Mobile Developer,Technology,Entry,11,PhD,"Experienced Mobile Developer with 1 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",9,4,8,123611,Hybrid,False,0.7158812678002886,83,0.7673498279243183
4,Full Stack Developer,E-commerce,Lead,2,PhD,"Experienced Full Stack Developer with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",6,4,4,98078,Hybrid,True,0.6009847668043037,43,0.8606896297997508
5,Frontend Developer,Healthcare,Lead,7,PhD,"Experienced Frontend Developer with 5 years in software development. Proficient in JavaScript, Angular, React, TypeScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",9,2,15,93601,Remote,False,0.8326870923896093,57,0.40084460847686143
6,Android Developer,Education,Entry,2,Bachelor,"Experienced Android Developer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",9,4,16,93448,Hybrid,False,0.500598996208862,75,0.7793951906175359
7,QA Tester,Education,Senior,10,Master,"Experienced QA Tester with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",6,3,0,76606,Hybrid,True,0.6855118066934278,40,0.490740313918762
8,Backend Developer,Technology,Senior,11,High School,"Experienced Backend Developer with 4 years in software development. Proficient in Spring, PostgreSQL, Python, Django. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend', 'Django']",2,2,19,94443,Hybrid,False,0.3529072551772454,59,0.887325299235675
9,Backend Developer,Finance,Principal,7,Master,"Experienced Backend Developer with 6 years in software development. Proficient in SQL, Node.js, Python, Spring. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend']",6,0,7,129934,Hybrid,False,0.30942456914165134,42,0.8234718887991279
10,Project Manager,Education,Principal,0,Bachelor,"Experienced Project Manager with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",7,3,1,62306,Remote,True,0.7141718931468366,52,0.6337741851084531
11,UI/UX Designer,Technology,Junior,14,Bachelor,"Experienced UI/UX Designer with 2 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,0,5,132755,Hybrid,False,0.5367222172324337,55,0.9458592281342891
12,Data Engineer,Finance,Mid,8,High School,"Experienced Data Engineer with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,2,17,127544,On-site,False,0.3554808911351241,56,0.7835647653312316
13,Data Scientist,Technology,Lead,9,Bachelor,"Experienced Data Scientist with 5 years in software development. Proficient in TensorFlow, Scikit-learn, SQL, Tableau. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Tableau', 'Experienced']",9,0,19,86286,Remote,True,0.5838706802034848,49,0.9635081731281765
